id,name,latitude,longitude
3877.04,Pitkin Ave & Grafton St,40.66852,-73.91908
3879.04,Union St & Bedford Ave,40.669178,-73.955416
3882.01,12 St & 4 Ave,40.668603,-73.990439
3882.05,10 St & 4 Ave,40.669673,-73.988989
3885.06,Buffalo Ave & St John's Pl,40.67015,-73.92538
3887.03,Carroll St & Washington Ave,40.668674,-73.961814
3893.03,Eastern Pkwy & Schenectady Ave,40.66876,-73.93376
3902.06,Eastern Pkwy & Kingston Ave,40.66959,-73.94237
3905.15,3 St & 7 Ave,40.670383,-73.978396
3911.05,Eastern Pkwy & Nostrand Ave,40.66967,-73.9503
3914.02,7 St & 5 Ave,40.670492,-73.985416
3917.03,St Johns Pl & Howard Ave,40.66992,-73.92002
3919.07,Eastern Pkwy & Franklin Ave (NE Corner),40.670776,-73.95768
3919.12,Eastern Pkwy & Franklin Ave (SW Corner),40.670529,-73.958222
3922.02,10 St & 2 Ave,40.671907,-73.993612
3925.03,Sterling Pl & Rochester Ave,40.67128,-73.92825
3928.08,Eastern Pkwy & Washington Ave,40.671649,-73.963114
3931.09,Bay St & Court St,40.671409,-74.001328
3934.06,Sterling Pl & Schenectady Ave,40.6716,-73.93378
3934.07,Troy Ave & Park Pl,40.67251,-73.93642
3940.04,Sigourney St & Columbia St,40.672672,-74.008795
3943.03,St Johns Pl & Kingston Ave,40.67113,-73.94222
3946.07,1 St & 6 Ave,40.672784,-73.979826
3950.03,Park Pl & Thomas S. Boyland St,40.67154,-73.91433
3952.07,Lincoln Pl & Nostrand Ave,40.67077,-73.9507
3958.02,Sterling Pl & Ralph Ave,40.67095,-73.92222
3960.01,Lincoln Pl & Classon Ave,40.672168,-73.9609
3966.01,St Johns Pl & Utica Ave,40.6705,-73.9308
3966.03,Park Pl & Utica Ave,40.67242,-73.93094
3972.08,Henry St & Bay St,40.672505,-74.004946
3975.02,Albany Ave & Park Pl,40.67297,-73.93896
3981.10,Dwight St & Van Dyke St,40.673635,-74.011955
3982.01,Eastern Pkwy	& St Marks Ave,40.67319,-73.91083
3984.02,Sterling Pl & New York Ave,40.67234,-73.94763
3987.06,5 Ave & 3 St,40.672815,-73.983523
3991.04,Prospect Pl & Howard Ave,40.67261,-73.91977
3993.03,Sterling Pl & Bedford Ave,40.672695,-73.954131
3996.01,7 St & 3 Ave,40.672602,-73.98983
3999.06,Park Pl & Buffalo Ave,40.67202,-73.92539
4001.09,St Johns Pl & Washington Ave,40.673723,-73.963161
4007.01,Schenectady Ave & Prospect Pl,40.67351,-73.93363
4010.01,Plaza St East & Flatbush Ave,40.673134,-73.969106
4010.13,Plaza St West & Flatbush Ave,40.67502,-73.971114
4010.15,Grand Army Plaza & Plaza St West,40.672967,-73.970879
4013.08,Columbia St & Lorraine St,40.674705,-74.007557
4014.01,Pacific St & Sackman St,40.67522,-73.9061
4016.03,Kingston Ave & Park Pl,40.67308,-73.94191
4019.06,Carroll St & 6 Ave,40.674088,-73.978728
4023.01,St Marks Ave & Thomas S. Boyland St,40.67313,-73.91387
4023.05,Pacific St & Thomas S. Boyland St,40.67568,-73.91396
4025.02,Prospect Pl & Nostrand Ave,40.67428,-73.9503
4028.03,3 St & 3 Ave,40.67507,-73.987752
4028.04,4 Ave & 3 St,40.673746,-73.985649
4031.05,St Marks Ave & Ralph Ave,40.67372,-73.92199
4033.16,Sterling Pl & Franklin Ave,40.673247,-73.956895
4033.18,Sterling Pl & Classon Ave,40.673941,-73.96026
4039.04,St Marks Ave & Rochester Ave,40.67404,-73.92772
4042.08,Underhill Ave & Lincoln Pl,40.674012,-73.967145
4045.01,Clinton St & Centre St,40.67434,-74.001946
4048.03,Bergen St & Troy Ave,40.67524,-73.93596
4051.01,Berkeley Pl & 7 Ave,40.675146,-73.975232
4054.06,Dwight St & Dikeman St,40.674875,-74.01048
4055.04,Bergen St & Mother Gaston Blvd,40.67374,-73.90852
4057.04,Brooklyn Ave & Prospect Pl,40.67412,-73.94447
4060.09,Carroll St & 5 Ave,40.675162,-73.981483
4064.03,Bergen St & Saratoga Ave,40.67423,-73.91656
4066.15,Bedford Ave & Bergen St,40.676368,-73.952918
4072.02,Bergen St & Buffalo Ave,40.6747,-73.92512
4074.14,Classon Ave & St Marks Ave,40.676513,-73.959431
4077.04,Smith St & 9 St,40.674695,-73.997857
4077.07,Court St & Nelson St,40.676394,-73.998698
4080.01,Schenectady Ave & Pacific St,40.67686,-73.93327
4086.05,Columbia St & W 9 St,40.676999,-74.006471
4086.06,Henry St & W 9 St,40.676374,-74.003249
4087.01,Van Sinderen Ave & Atlantic Ave,40.67621,-73.90351
4089.01,Bergen St & Kingston Ave,40.6756,-73.9415
4095.03,Van Brunt St & Wolcott St,40.677342,-74.01275
4095.10,Van Brunt St & Van Dyke St,40.675832,-74.014726
4096.08,Dean St & Rockaway Ave,40.67486,-73.91123
4098.06,New York Ave & St Marks Ave,40.67514,-73.94716
4101.17,President St & 4 Ave,40.676757,-73.983262
4105.01,Pacific St & Ralph Ave,40.67607,-73.92171
4107.05,Franklin Ave & St Marks Ave,40.675832,-73.956167
4107.13,Dean St & Franklin Ave,40.677592,-73.955637
4110.10,3 St & Hoyt St,40.677728,-73.993641
4113.01,Pacific St & Rochester Ave,40.67639,-73.92748
4116.08,Prospect Pl & Underhill Ave,40.676969,-73.96579
4116.09,Washington Ave & Park Pl,40.675832,-73.963308
4119.04,Clinton St & 4 Place,40.678356,-74.000145
4120.02,Fulton St & Williams Ave,40.67709,-73.9008
4122.03,Pacific St & Troy Ave,40.67686,-73.93607
4125.07,7 Ave & Park Pl,40.677614,-73.973242
4128.08,Pioneer St & Richards St,40.677774,-74.009461
4129.10,Herkimer St & Eastern Pkwy,40.67738,-73.90829
4131.03,Brooklyn Ave & Dean St,40.67669,-73.94437
4134.06,Berkeley Pl & 6 Ave,40.67653,-73.978468
4137.10,Coffey St & Conover St,40.677236,-74.015665
4137.14,Coffey St & Ferris St,40.678183,-74.017016
4138.04,Thomas S. Boyland St & Fulton St,40.67854,-73.91367
4140.03,Pacific St & Nostrand Ave,40.6776,-73.94963
4143.04,3 Ave & Carroll St,40.677027,-73.9865
4146.02,Columbus Pl & Atlantic Ave,40.67717,-73.92285
4148.07,Pacific St & Classon Ave,40.679194,-73.95879
4151.01,Smith St & 3 St,40.678724,-73.99599
4154.02,Pacific St & Utica Ave,40.6767,-73.93051
4157.10,Bergen St & Vanderbilt Ave,40.679438,-73.968043
4157.15,Prospect Pl & Vanderbilt Ave,40.677675,-73.969021
4161.01,Van Sinderen Ave & Truxton St,40.6786,-73.90369
4166.08,Prospect Pl & 6 Ave,40.67933,-73.975195
4169.04,Pioneer St & Van Brunt St,40.679043,-74.011169
4170.08,Somers St & Rockaway Ave,40.67872,-73.91105
4172.04,Herkimer St & New York Ave,40.67955,-73.94709
4175.14,Douglass St & 4 Ave,40.679278,-73.98154
4175.15,Union St & 4 Ave,40.677274,-73.98282
4179.03,Fulton St & Saratoga Ave,40.67853,-73.91642
4181.10,Brevoort Pl & Bedford Ave,40.68012,-73.95362
4184.08,President St & Hoyt St,40.680057,-73.991753
4187.04,Sumpter St & Fulton St,40.67923,-73.92588
4190.06,Grand Ave & Bergen St,40.678045,-73.962408
4193.14,1 Pl & Clinton St,40.680959,-73.999057
4196.01,Lewis Ave & Fulton St,40.67972,-73.93467
4196.05,Chauncey St & Stuyvesant Ave,40.68012,-73.93168
4199.12,Carlton Ave & Dean St,40.680974,-73.971009
4199.13,Carlton Ave & St Marks Ave,40.679118,-73.971762
4202.04,Richards St & Delavan St,40.679432,-74.00785
4203.04,Somers St & Broadway,40.67945,-73.90474
4205.06,Kingston Ave & Herkimer St,40.678906,-73.941427
4208.01,Sterling Pl & 5 Ave,40.67897,-73.978552
4212.01,MacDougal St & Rockaway Ave,40.68018,-73.91136
4214.03,Macon St & Nostrand Ave,40.680983,-73.950047
4214.04,Verona Pl & Fulton St,40.680356,-73.947679
4217.02,Douglass St & 3 Ave,40.680213,-73.984326
4217.06,Degraw St & 3 Ave,40.67977,-73.9847
4220.02,Ralph Ave & Fulton St,40.67922,-73.92192
4222.02,Lefferts Pl & Franklin Ave,40.680342,-73.955768
4225.14,Carroll St & Smith St,40.680611,-73.994758
4228.02,Fulton St & Utica Ave,40.679426,-73.929891
4228.06,Chauncey St & Malcolm X Blvd,40.68044,-73.92842
4231.04,Underhill Ave & Pacific St,40.680483,-73.964679
4237.01,Lewis Ave & Decatur St,40.681459,-73.934903
4237.02,Albany Ave & Fulton St,40.68001,-73.938475
4243.01,Commerce St & Van Brunt St,40.681211,-74.008609
4244.06,Broadway & Furman Ave,40.68139,-73.90756
4246.02,MacDonough St & Marcy Ave,40.68078,-73.94613
4253.02,Thomas S. Boyland St & Marion St,40.681465,-73.914156
4255.05,Hancock St & Bedford Ave,40.682165,-73.95399
4258.07,Degraw St & Hoyt St,40.68199,-73.99079
4261.03,Patchen Ave & Bainbridge St,40.68143,-73.92565
4263.12,Fulton St & Irving Pl,40.68186,-73.959432
4266.03,Clinton St & Union St,40.683116,-73.997852
4278.03,Marcus Garvey Blvd & Macon St,40.682601,-73.938037
4281.08,Bergen St & Flatbush Ave,40.680944,-73.975673
4285.09,Rockaway Ave & Bainbridge St,40.683199,-73.911666
4290.06,Wyckoff St & 3 Ave,40.682754,-73.982585
4293.05,Chauncey St & Howard Ave,40.68158,-73.91959
4298.05,Degraw St & Smith St,40.682915,-73.993182
4301.04,Macon St & Patchen Ave,40.68374,-73.9261
4301.07,MacDonough St & Malcolm X Blvd,40.68273,-73.92926
4307.13,President St & Henry St,40.6828,-73.999904
4310.06,Macon St & Lewis Ave,40.68282,-73.93488
4317.05,Bushwick Ave & Furman Ave,40.68281,-73.90623
4319.07,Halsey St & Tompkins Ave,40.682368,-73.944118
4322.06,Bergen St & 4 Ave,40.682564,-73.979897
4325.03,Thomas S. Boyland St & Macon St,40.68491,-73.91493
4327.09,Putnam Ave & Nostrand Ave,40.68402,-73.94977
4330.09,Hoyt St & Warren St,40.684354,-73.989016
4334.02,Halsey St & Ralph Ave,40.68494,-73.92299
4336.01,Monroe St & Classon Ave,40.684568,-73.95881
4339.01,Butler St & Court St,40.684989,-73.994403
4342.04,Hancock St & Malcolm X Blvd,40.68487,-73.9293
4345.11,Fulton St & Waverly Ave,40.683238,-73.965995
4348.07,Carroll St & Columbia St,40.683045,-74.003485
4354.05,S Portland Ave & Hanson Pl,40.685395,-73.974314
4354.07,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323
4357.01,Moffat St & Bushwick,40.68458,-73.90925
4362.04,Pacific St & Nevins St,40.685376,-73.983021
4366.01,Halsey St & Broadway,40.68565,-73.91564
4366.10,Decatur St & Saratoga Ave,40.68332,-73.91711
4368.05,Monroe St & Bedford Ave,40.685144,-73.953809
4371.01,Warren St & Smith St,40.685424,-73.991277
4374.01,Picnic Point,40.685125,-74.025353
4375.02,Jefferson Ave & Patchen Ave,40.68609,-73.92628
4377.04,Cambridge Pl & Gates Ave,40.68488,-73.96304
4380.08,Henry St & Degraw St,40.684751,-73.999172
4383.06,Hancock St & Stuyvesant Ave,40.68454,-73.9322
4386.05,Fulton St & Clermont Ave,40.684157,-73.969222
4392.04,Putnam Ave & Throop Ave,40.685153,-73.94111
4395.07,Hanson Pl & Ashland Pl,40.685068,-73.977907
4399.03,Eldert St & Bushwick Ave,40.68652,-73.91321
4404.10,Bond St & Bergen St,40.684966,-73.986207
4408.07,Macon St & Howard Ave,40.68452,-73.92011
4413.08,Warren St & Court St,40.686371,-73.993833
4416.10,Madison St & Malcolm X Blvd,40.68713,-73.93008
4419.03,Washington Ave & Greene Ave,40.6865,-73.965633
4422.04,Columbia St & Degraw St,40.685929,-74.002423
4422.05,Columbia St & Kane St,40.687631,-74.001625
4425.02,Lewis Ave & Madison St,40.686312,-73.935775
4428.02,Cumberland St & Lafayette Ave,40.687534,-73.972651
4432.10,Central Ave & Decatur St,40.6882,-73.90798
4434.06,Monroe St & Tompkins Ave,40.686203,-73.944694
4437.01,3 Ave & Schermerhorn St,40.686832,-73.979677
4437.09,Nevins St & Schermerhorn St,40.687372,-73.98176
4440.02,Yankee Ferry Terminal,40.687065,-74.016755
4441.06,Broadway & Hancock St,40.68663,-73.9168
4446.01,Bergen St & Smith St,40.686744,-73.990631
4446.03,Pacific St & Smith St,40.68788,-73.989392
4446.05,Dean St & Hoyt St,40.686444,-73.987591
4450.06,Putnam Ave & Ralph Ave,40.68705,-73.92338
4452.01,Lafayette Ave & Classon Ave,40.689004,-73.960238
4452.03,Lexington Ave & Classon Ave,40.686767,-73.959281
4455.10,Congress St & Clinton St,40.688255,-73.995451
4455.11,Kane St & Clinton St,40.686175,-73.996452
4458.06,Stuyvesant Ave & Gates Ave,40.68834,-73.93306
4461.01,Clermont Ave & Lafayette Ave,40.687644,-73.969689
4461.04,DeKalb Ave & Vanderbilt Ave,40.689407,-73.968854
4467.03,Monroe St & Marcus Garvey Blvd,40.686722,-73.938988
4470.09,Lafayette Ave & Ft Greene Pl,40.687002,-73.976649
4474.01,Halsey St & Evergreen Ave,40.68858,-73.91227
